1000 4000
236 153 99
416 153 65
803 153 79
975 153 63
153 807 38
285 807 31
336 807 28
155 401 42
158 401 35
200 401 100
667 401 94
684 401 94
685 401 62
751 401 80
161 156 53
173 156 34
184 156 30
305 156 21
432 156 3
451 156 67
622 156 98
750 156 46
156 400 18
368 400 2
518 400 86
156 450 68
218 450 97
238 450 46
244 450 54
623 450 25
944 450 10
156 773 5
338 773 71
470 773 73
499 773 14
576 773 50
736 773 29
157 309 96
719 309 22
157 464 88
327 464 15
465 464 31
472 464 30
666 464 72
723 464 5
813 464 52
157 503 41
210 503 10
987 503 29
158 335 7
221 335 9
458 335 52
648 335 8
158 893 30
228 893 84
242 893 16
394 893 39
567 893 68
881 893 85
900 893 38
159 303 1
221 303 90
588 303 82
998 303 33
334 160 39
452 160 96
651 160 77
903 160 93
160 272 28
394 272 93
475 272 70
545 272 32
629 272 40
692 272 92
160 467 70
497 467 67
500 467 40
727 467 42
924 467 37
161 719 20
782 719 2
253 162 49
268 162 40
549 162 55
163 391 14
268 391 78
164 745 83
270 745 70
830 745 75
164 987 66
720 987 41
856 987 39
948 987 22
304 165 23
595 165 96
687 165 12
953 165 74
165 235 11
335 235 1
585 235 57
864 235 22
914 235 64
165 718 29
362 718 49
619 718 34
836 718 7
868 718 72
165 859 26
423 859 44
784 859 89
859 859 29
921 859 6
203 166 34
413 166 48
470 166 6
665 166 19
763 166 74
867 166 59
932 166 54
166 569 58
353 569 70
605 569 63
812 569 70
822 569 6
166 868 23
648 868 8
167 672 53
382 672 82
454 672 95
556 672 90
733 672 81
803 672 39
966 672 54
168 403 83
178 403 75
221 403 46
266 403 2
468 403 63
652 403 19
723 403 26
275 168 30
416 168 9
468 168 30
587 168 40
169 906 18
508 906 7
768 906 30
907 906 25
174 170 11
529 170 36
859 170 81
942 170 96
170 945 34
223 945 9
405 945 72
491 945 3
889 945 11
171 536 11
333 536 69
609 536 19
723 536 52
864 536 61
923 536 76
259 171 72
338 171 86
171 829 64
233 829 26
721 829 73
980 829 66
172 972 21
317 972 25
493 972 51
786 972 3
958 972 55
261 172 43
271 172 87
334 172 87
806 172 5
880 172 36
173 350 3
288 350 48
721 350 85
765 350 88
923 350 27
929 350 92
983 350 33
998 350 48
173 385 54
212 385 95
230 385 56
643 385 36
894 385 85
173 552 45
238 552 48
248 552 62
359 552 80
425 552 13
494 552 32
578 552 87
954 552 80
173 844 53
307 844 98
485 844 22
897 844 88
926 844 31
173 957 97
189 957 75
546 957 99
925 957 73
218 174 1
511 174 90
589 174 26
807 174 80
883 174 96
988 174 77
998 174 91
174 187 95
993 187 50
174 288 3
363 288 67
472 288 33
666 288 30
775 288 46
175 714 21
286 714 78
393 714 33
499 714 61
175 841 62
793 841 91
930 841 92
175 955 100
473 955 14
176 599 17
755 599 3
877 599 13
176 618 94
187 618 91
207 618 73
238 618 27
931 618 90
176 639 18
458 639 59
770 639 11
176 696 55
760 696 65
774 696 91
914 696 56
915 696 91
177 293 29
436 293 28
520 293 37
901 293 72
527 177 91
555 177 91
703 177 6
945 177 35
994 177 82
178 524 15
231 524 12
275 524 4
396 524 91
637 524 18
823 524 36
179 946 84
547 946 100
617 946 56
703 946 44
798 946 81
180 862 51
267 862 2
417 862 37
665 862 42
715 862 41
750 862 93
946 862 98
180 958 70
262 958 68
931 181 28
181 341 30
989 341 42
181 504 55
219 504 67
699 504 75
181 989 46
217 989 87
535 989 5
737 989 73
769 989 57
802 989 44
842 989 72
182 275 91
593 275 68
717 275 25
637 182 48
712 182 35
762 182 22
838 182 6
932 182 6
182 530 55
552 530 63
745 530 74
758 530 45
183 219 12
222 219 33
237 219 34
477 219 54
183 458 72
290 458 20
448 458 91
293 184 74
347 184 88
713 184 50
184 282 15
414 282 18
495 282 49
669 282 87
788 282 6
914 282 78
992 282 36
184 373 58
591 373 47
185 553 13
243 553 95
277 553 59
361 553 8
186 189 92
296 189 48
323 189 49
329 189 53
809 189 80
786 186 10
855 186 57
878 186 16
885 186 2
186 867 43
910 867 9
186 910 14
550 910 62
560 910 16
649 910 28
684 910 46
691 910 4
926 910 15
187 276 44
204 276 94
213 276 45
229 276 28
489 276 79
714 276 90
685 188 5
727 188 87
731 188 96
188 287 22
199 287 34
470 287 53
806 287 92
936 287 56
188 356 42
596 356 97
188 436 20
243 436 82
578 436 49
816 436 7
189 735 71
268 735 52
400 735 56
844 735 52
886 735 57
190 432 93
520 432 40
637 432 79
777 432 53
867 432 43
901 432 22
976 432 64
320 190 100
566 190 17
809 190 12
190 580 30
534 580 73
557 580 7
598 580 21
762 580 96
268 191 73
622 191 48
904 191 65
191 302 72
309 302 52
671 302 97
903 302 33
191 786 26
259 786 12
683 786 60
191 921 86
625 921 24
905 921 14
261 192 41
331 192 27
485 192 94
519 192 55
926 192 4
193 805 70
372 805 89
564 805 12
247 193 56
405 193 40
975 193 31
193 858 49
657 858 72
195 269 57
443 269 27
525 269 52
728 269 59
195 395 48
286 395 42
313 395 98
476 395 56
526 395 96
880 395 39
195 430 40
459 430 29
881 430 70
195 603 61
196 265 90
360 265 37
583 265 74
466 196 40
683 196 77
766 196 30
196 320 11
476 320 8
573 320 85
633 320 51
863 320 40
287 197 32
418 197 58
911 197 45
943 197 11
197 575 32
618 575 66
198 440 2
431 440 73
443 440 78
544 440 52
373 199 93
199 677 28
500 677 72
801 677 100
199 883 34
559 883 87
970 883 61
200 661 38
236 661 72
561 661 31
202 771 98
292 771 5
397 771 56
501 771 38
570 771 41
657 771 24
714 771 31
725 771 54
234 203 58
300 203 86
861 203 27
961 203 74
203 715 32
300 715 99
742 715 42
203 903 95
479 903 92
696 903 86
995 903 14
204 837 11
212 837 71
812 837 96
926 837 90
517 207 1
980 207 29
207 994 32
250 994 40
313 994 5
458 994 91
716 994 57
728 994 99
208 369 37
733 369 94
540 208 75
641 208 50
210 473 59
819 473 44
993 473 31
564 210 34
579 210 18
582 210 72
786 210 35
399 211 55
470 211 8
809 211 48
211 733 1
233 733 27
391 733 5
584 733 38
516 212 63
886 212 48
245 214 42
591 214 23
661 214 15
214 278 99
302 278 7
303 278 76
214 344 95
447 344 55
596 344 2
609 344 85
214 428 13
348 428 43
214 899 35
351 899 12
449 899 41
897 899 56
905 899 84
214 983 24
281 983 30
309 983 21
594 983 78
684 983 44
814 983 83
903 983 7
999 983 64
485 216 44
216 297 57
314 297 87
392 297 29
629 297 24
752 297 86
898 297 76
640 217 97
701 217 16
894 217 2
217 271 15
443 271 76
590 271 50
217 378 89
443 378 61
517 378 12
608 378 21
718 378 28
829 378 69
217 492 47
580 492 56
596 492 15
603 492 30
766 492 37
864 492 49
687 218 9
998 218 5
218 296 6
612 296 55
969 296 70
984 296 95
218 667 73
321 667 48
512 667 94
536 667 80
650 667 38
218 839 49
460 839 56
512 839 29
603 839 83
611 839 22
219 349 73
306 349 41
689 349 41
747 349 62
881 349 77
219 502 43
672 502 38
219 919 97
349 919 34
552 919 27
706 919 38
807 919 33
665 220 4
703 220 54
745 220 66
220 648 8
402 648 86
461 648 2
469 648 54
593 648 28
925 648 49
947 648 80
220 707 91
573 707 20
899 707 48
986 707 26
220 831 7
613 831 11
739 831 34
804 831 54
849 831 54
873 831 32
986 831 70
220 872 21
590 872 54
771 872 58
931 872 15
220 895 22
489 895 78
520 895 45
814 895 13
823 895 36
221 321 46
267 321 46
269 321 75
432 321 15
949 321 63
799 222 25
927 222 22
222 347 39
458 347 56
518 347 97
739 347 100
811 347 45
931 347 99
222 561 8
872 561 83
222 752 80
564 752 5
622 752 87
896 752 93
223 651 26
378 651 9
224 250 85
355 250 59
407 250 82
744 250 97
837 250 86
224 498 22
307 498 3
320 498 69
224 541 81
481 225 74
707 225 63
714 225 14
729 225 91
225 619 60
604 619 83
226 311 21
697 311 56
792 311 43
447 226 32
509 226 87
620 226 32
634 226 89
996 226 67
226 967 60
261 967 37
435 967 2
600 967 92
656 967 53
715 967 51
726 967 23
884 967 92
227 388 32
227 495 64
334 495 68
366 495 81
375 495 100
228 634 39
365 634 74
377 634 88
610 634 22
855 634 76
828 228 57
259 229 59
629 229 38
937 229 8
229 578 60
502 578 86
781 578 70
987 578 94
229 641 25
710 641 73
847 641 88
229 665 37
236 665 47
473 665 60
558 665 20
570 665 63
230 902 38
339 902 21
328 231 86
385 231 14
507 231 85
821 231 51
231 501 17
527 501 48
979 501 26
984 501 37
294 232 69
455 232 43
705 232 16
858 232 26
873 232 92
232 333 1
495 333 54
676 333 39
954 333 54
232 366 34
398 366 12
628 366 3
882 366 97
276 233 97
356 233 16
833 233 66
233 446 6
351 446 53
439 446 68
524 446 5
582 446 34
584 446 40
657 446 34
740 446 9
942 446 84
804 234 50
234 354 36
416 354 34
437 354 23
639 354 96
853 354 40
938 354 68
235 944 23
286 944 25
625 944 77
826 944 34
236 653 59
309 653 75
515 653 18
522 653 59
606 653 37
971 653 30
236 704 14
951 704 42
407 238 2
409 238 5
274 239 88
834 239 100
860 239 68
239 390 5
479 390 45
698 390 7
800 390 41
854 390 57
240 262 65
686 262 96
454 241 13
241 675 4
552 675 56
668 675 51
828 675 57
242 570 87
515 570 88
896 570 14
318 243 50
420 243 37
904 243 10
244 326 61
405 326 18
615 326 48
762 326 63
244 803 33
582 803 52
626 803 91
646 803 81
766 803 63
244 848 1
432 848 68
463 848 68
526 848 70
859 848 11
875 848 96
244 912 5
419 912 65
430 912 91
487 912 22
493 912 60
816 912 50
823 912 51
245 791 68
271 791 28
531 791 60
538 791 40
246 509 95
246 576 28
498 576 44
671 576 27
748 576 69
247 406 11
539 406 57
663 406 46
247 543 61
460 543 10
593 543 91
248 642 14
459 642 78
547 642 16
580 642 54
618 642 92
515 249 18
538 249 51
745 249 55
249 710 100
251 266 73
436 266 55
445 266 24
485 266 76
640 266 10
252 290 40
510 290 59
632 290 7
826 290 40
966 290 99
252 738 29
284 738 86
252 754 73
336 253 97
356 253 64
403 253 98
648 253 81
952 253 26
958 253 46
255 726 91
721 726 55
894 726 79
902 726 19
993 726 3
256 281 11
430 281 33
619 281 50
633 281 90
816 281 31
886 281 88
988 281 65
256 769 6
453 769 3
526 769 24
766 769 100
805 769 67
871 769 49
890 769 69
480 258 94
608 258 36
258 488 79
450 488 43
258 683 100
851 683 70
259 843 26
306 843 32
352 843 4
532 843 24
580 843 45
770 843 14
906 843 35
421 260 28
743 260 96
898 260 65
260 545 75
465 545 12
634 545 88
305 261 68
368 261 86
627 261 55
811 261 24
820 261 89
261 426 10
514 426 6
519 426 47
557 426 78
896 426 86
935 426 79
261 943 92
312 943 44
396 943 30
462 943 13
714 943 34
262 604 62
265 439 6
755 439 21
265 725 31
482 725 56
546 725 31
318 267 11
402 267 22
526 267 6
531 267 55
689 267 39
744 267 94
750 267 32
930 267 19
941 267 98
268 779 99
854 779 49
959 779 14
479 270 71
614 270 77
626 270 28
272 284 53
521 284 83
652 284 47
851 284 49
969 284 49
272 785 99
310 785 41
404 785 51
275 767 74
899 767 55
746 277 48
937 277 48
277 664 71
367 664 22
782 664 67
873 664 60
277 810 48
526 810 84
605 279 50
906 279 62
967 279 63
279 365 79
280 313 34
285 313 22
590 313 57
653 313 5
769 313 51
517 280 10
628 280 5
733 280 75
734 280 62
947 280 100
280 997 16
356 997 6
475 997 80
738 997 99
769 997 15
864 997 38
934 997 42
281 836 94
318 836 81
625 836 89
282 898 96
328 898 100
925 898 100
283 420 54
378 420 79
283 597 52
640 597 12
285 968 57
724 968 40
820 968 23
825 968 91
286 605 92
406 605 71
582 605 18
811 605 89
873 605 49
288 808 43
308 808 77
364 808 44
382 808 89
590 808 17
288 864 78
662 864 75
663 864 66
709 864 96
289 453 2
419 453 94
523 453 98
577 453 2
649 453 64
290 445 95
673 445 100
775 445 85
951 445 30
291 873 12
530 873 35
909 873 93
292 491 83
518 491 54
292 694 55
501 694 32
663 694 35
738 694 69
836 694 36
292 708 86
306 708 47
391 708 56
396 708 51
557 708 7
985 708 75
294 574 90
848 574 71
294 614 88
326 614 38
542 614 10
295 615 69
299 615 31
367 615 82
672 615 68
727 615 93
972 615 58
296 680 26
340 680 21
415 680 77
297 904 45
428 904 23
731 904 55
982 904 59
299 598 76
344 598 32
644 598 11
933 598 19
389 299 31
812 299 43
864 299 81
881 299 74
299 951 14
421 301 46
461 301 62
466 301 1
537 301 93
855 301 50
461 304 29
481 304 64
749 304 98
799 304 46
868 304 13
973 304 13
304 643 6
427 643 17
577 643 87
348 305 96
485 305 69
527 305 12
617 305 95
747 305 32
305 645 65
329 645 92
596 645 54
601 645 90
679 645 89
305 668 16
306 757 57
475 757 94
530 757 37
873 757 83
306 827 99
464 827 59
670 827 24
716 827 1
730 827 58
867 827 27
361 307 20
400 307 31
554 307 45
786 307 85
988 307 68
479 308 63
494 308 49
642 308 27
672 308 49
727 308 32
308 441 99
491 441 16
626 441 37
308 494 1
689 494 48
309 484 48
330 484 84
851 484 74
414 310 87
524 310 20
310 842 90
311 911 43
486 312 73
890 312 21
904 312 83
963 312 77
312 411 85
502 411 89
800 411 3
943 411 31
312 608 46
462 608 88
619 608 23
687 608 99
877 608 12
312 625 42
845 625 68
883 625 45
678 314 77
738 314 3
751 314 94
945 314 84
314 573 93
716 573 85
855 573 53
316 508 95
368 508 45
672 508 1
880 508 2
316 528 100
668 528 86
989 528 92
316 882 72
461 882 74
709 882 100
317 758 98
495 758 43
319 824 17
553 824 12
617 824 62
940 824 83
964 824 98
319 932 66
738 932 62
320 644 8
435 644 33
561 644 96
789 644 8
895 644 6
946 644 4
321 571 43
362 571 42
541 571 15
615 571 68
699 571 84
908 571 8
321 627 53
421 627 38
461 627 89
507 627 32
609 627 13
875 627 100
917 627 45
945 627 38
321 656 5
392 656 20
815 656 72
515 322 96
830 322 93
322 565 50
504 565 57
517 565 8
549 565 57
322 702 25
324 702 64
653 702 24
343 323 49
428 323 78
654 323 6
673 323 32
877 323 41
950 323 35
448 325 89
325 743 87
357 743 8
538 743 1
814 743 28
979 743 41
326 532 5
347 532 5
387 532 100
455 532 90
601 532 53
753 532 98
446 327 22
614 327 86
653 327 61
699 327 44
327 855 18
457 855 32
988 855 29
327 999 31
669 999 13
924 999 23
605 328 11
621 328 17
730 328 45
453 330 61
492 330 71
520 330 28
653 330 12
790 330 39
829 330 45
331 402 47
335 402 6
407 402 65
846 402 54
949 402 33
556 332 90
703 332 64
715 332 14
741 332 47
333 679 23
342 679 57
666 679 94
333 734 1
669 734 53
990 734 18
334 850 73
438 850 30
581 850 30
684 850 20
902 850 16
334 884 68
565 884 93
335 768 77
531 768 84
691 768 33
996 336 14
555 338 38
676 338 27
848 338 20
931 338 78
984 338 42
340 507 1
431 507 38
630 507 99
782 507 40
820 507 12
341 692 35
561 692 54
361 342 3
590 342 42
670 342 87
724 342 36
728 342 16
754 342 62
993 342 93
999 342 40
342 555 93
342 562 52
718 562 9
731 562 96
590 345 75
784 345 50
693 346 5
349 542 46
434 542 11
786 542 74
350 686 31
442 686 31
749 686 10
603 351 76
808 351 35
351 660 66
544 660 57
674 660 14
716 660 62
354 865 27
795 865 64
857 865 54
355 981 77
932 981 84
356 480 82
749 480 8
822 480 92
870 480 94
356 879 6
667 879 35
386 357 22
767 357 88
357 878 23
412 878 30
656 878 32
358 930 54
584 930 23
885 930 72
359 646 20
476 646 75
784 646 9
889 646 37
360 739 92
960 739 80
988 739 33
362 380 47
424 380 31
719 380 17
362 823 6
376 823 8
404 823 88
443 364 63
456 364 35
364 520 44
707 520 83
799 520 3
801 520 48
834 520 67
364 766 63
441 766 36
735 766 46
780 766 100
826 766 15
841 766 93
366 936 72
668 936 61
778 936 21
854 936 60
909 936 79
798 370 34
823 370 4
862 370 80
373 933 92
551 933 29
558 933 76
887 933 71
374 698 26
634 698 28
817 698 6
884 698 10
452 375 35
459 375 65
606 375 97
706 375 90
938 375 66
661 376 52
752 376 62
376 630 68
377 690 90
430 690 29
554 690 92
762 690 83
793 690 83
379 938 16
469 938 80
634 938 79
380 405 86
689 405 24
749 405 14
777 405 23
791 405 7
383 774 33
763 774 81
776 774 25
783 774 43
383 916 16
653 916 51
741 916 8
814 916 31
829 916 88
943 916 6
952 916 50
384 720 58
692 720 6
930 720 35
386 956 9
387 956 28
724 956 7
943 956 78
387 525 34
415 525 82
609 525 73
387 596 49
618 596 52
676 596 91
941 596 12
387 935 64
984 935 100
798 389 14
853 389 80
975 389 16
391 427 47
742 427 97
924 427 95
457 394 85
664 394 70
741 394 13
829 394 96
840 394 79
962 394 21
394 398 27
394 438 58
400 438 11
417 438 73
497 438 47
589 438 74
733 438 7
835 438 24
394 457 18
460 457 15
502 457 5
394 658 48
482 658 57
569 396 73
398 669 56
562 669 19
750 669 28
896 669 85
963 669 32
717 399 33
974 399 31
401 518 21
700 518 84
771 518 82
874 518 8
877 518 80
403 371 59
693 371 49
405 582 47
526 582 42
680 582 88
987 582 58
410 104 64
607 104 75
691 104 93
717 104 1
790 104 63
412 497 2
666 497 59
757 497 14
412 611 61
614 611 74
711 611 25
889 611 6
962 611 9
459 414 34
460 414 20
640 414 64
698 414 48
416 585 10
628 585 37
424 505 77
535 505 10
741 505 47
424 512 70
455 512 77
868 512 33
978 512 96
990 512 21
427 724 64
443 724 88
838 724 88
427 934 14
566 934 57
668 934 35
716 934 74
747 934 78
432 593 16
576 593 80
745 593 65
845 593 2
956 593 69
433 907 79
684 907 9
888 907 9
435 610 24
443 610 18
932 610 51
439 782 62
465 782 23
890 782 72
439 885 83
660 885 26
440 711 51
512 711 84
728 711 6
892 711 83
442 478 52
647 478 90
445 652 54
659 652 46
730 652 16
592 448 35
599 448 90
451 909 18
856 909 78
880 909 17
579 452 28
637 452 72
454 927 56
528 927 83
640 927 91
457 640 34
663 640 64
856 640 83
458 959 47
847 959 1
459 874 28
749 874 60
717 460 11
845 460 2
460 471 62
768 471 94
461 556 63
461 819 54
913 819 40
464 474 86
599 474 79
749 474 33
850 474 2
961 474 70
559 465 54
488 466 95
780 466 73
949 466 85
626 469 39
471 592 34
635 592 50
646 592 86
994 592 46
635 475 82
969 485 67
997 485 34
485 602 56
487 795 17
645 795 6
997 795 47
488 856 68
488 905 16
488 993 2
532 993 6
556 993 47
585 993 23
829 993 72
704 490 17
794 490 44
943 490 95
976 490 50
493 538 44
504 538 78
637 538 77
641 538 1
496 975 56
500 975 87
513 975 19
672 975 16
752 975 1
811 975 20
497 765 87
521 765 33
503 797 35
512 817 39
532 817 87
675 515 36
707 515 24
815 515 48
832 515 27
905 515 50
787 517 61
958 517 2
984 517 19
522 788 35
684 788 55
939 788 84
744 531 75
531 776 57
571 776 14
674 776 69
533 631 31
712 631 95
949 631 73
768 534 10
856 534 37
534 796 99
634 796 67
781 796 28
846 796 82
702 540 7
541 772 95
772 772 100
812 772 28
943 772 4
596 544 51
752 544 11
779 544 12
549 913 35
875 550 67
916 550 52
971 550 29
551 764 21
557 673 24
558 761 27
612 761 84
658 761 65
830 761 29
855 761 20
563 616 25
669 616 68
849 566 64
674 572 23
798 572 40
902 572 87
980 572 21
574 588 76
755 588 31
956 588 80
578 638 95
729 638 53
819 638 47
602 587 23
605 587 70
713 587 1
819 587 93
964 587 8
599 890 2
647 890 32
852 600 22
612 632 37
708 632 68
615 671 89
854 620 13
879 620 53
903 620 1
935 620 68
993 620 24
621 964 56
662 964 37
666 964 60
641 622 92
778 622 64
908 622 31
624 763 13
938 763 7
626 626 51
627 676 60
758 676 68
785 676 43
630 894 18
850 894 51
867 894 15
907 636 72
638 700 91
651 963 91
688 963 60
732 963 40
761 963 10
996 654 52
665 922 75
743 922 27
995 922 29
673 940 64
867 940 13
687 901 65
919 901 79
692 920 100
770 920 69
950 920 54
696 875 73
900 875 37
714 799 24
939 799 65
715 982 79
718 924 28
847 924 3
720 980 53
733 980 63
797 730 48
805 749 24
772 977 44
972 977 46
950 811 29
815 991 28
895 991 15
921 991 20
925 991 16
986 991 32
823 973 8
842 915 98
